sector,sector_en,industry,industry_en,sub_industry,sub_industry_en,code,caption
자유소비재,Consumer Discretionary,레저용품,Leisure Products,레저용품,Leisure Products,CD30,스포츠 및 야외 활동에 사용되는 제품을 제조하는 기업. (악기나 장난감처럼 여가와 오락을 위한 제품도 포함)
자유소비재,Consumer Discretionary,개인용품,Personal Products,의류 및 액세서리,Apparel & Accessories,CD41,"의류, 패션 액세서리 및 관련 제품을 제조하는 기업. ('신발'로 분류되는 신발은 제외)"
자유소비재,Consumer Discretionary,개인용품,Personal Products,신발,Footwear,CD42,일상용 및 스포츠용 신발을 제조하는 기업.
자유소비재,Consumer Discretionary,개인용품,Personal Products,화장품,Cosmetics,CD43,"피부 관리, 메이크업, 향수 등 뷰티 제품을 제조하는 기업."
자유소비재,Consumer Discretionary,미디어,Media,광고,Advertising,CD51,광고 콘텐츠 제작 및 홍보 서비스를 제공하는 기업.
자유소비재,Consumer Discretionary,미디어,Media,출판,Publishing,CD52,"서적, 잡지, 신문 등 다양한 출판물을 인쇄물 또는 전자문서 형식으로 제작, 발행, 배포하는 기업."
자유소비재,Consumer Discretionary,미디어,Media,방송,Broadcasting,CD53,"TV, 라디오, 케이블 및 위성 방송과 같은 플랫폼을 통해 콘텐츠를 송출하고 관리하는 기업. 방송 채널을 운영하거나 네트워크를 통한 프로그램 배급, 프로그램 편성과 광고 송출이 주요 활동. "
자유소비재,Consumer Discretionary,미디어,Media,엔터테인먼트,Entertainment,CD54,"영화, 드라마, 음악, 공연, 스포츠 콘텐츠를 제작하고 이를 다양한 채널로 배급하거나 제공하는 기업. 창작 및 콘텐츠 제작에 중점을 두며, 영화관 상영, 콘서트 기획, 온라인 스트리밍 등 다양한 방식으로 소비자와 연결됨. (영화 및 TV쇼 제작, 배급, 상영에 종사하는 업체와 음악, 엔터테인먼트 극장, 스포츠팀 제작 및 배급업체 포함)
('게임 소프트웨어'으로 분류된 게임 기업은 제외)"
자유소비재,Consumer Discretionary,여행 및 여가,Travel & Leisure,항공사,Airlines,CD61,국내 및 국제 여객 운송 서비스를 제공하는 기업. ('화물 항공운송'으로 분류된 화물 운송 서비스는 제외)
자유소비재,Consumer Discretionary,여행 및 여가,Travel & Leisure,여행 및 관광,Travel & Tourism,CD62,"여행사 운영, 패키지 투어, 관광 상품 기획 등 여행 및 관련 서비스를 제공하는 기업."
자유소비재,Consumer Discretionary,여행 및 여가,Travel & Leisure,숙박 및 레스토랑,Hotels & Restaurants,CD63,"호텔, 리조트, 크루즈 선박, 음식점 등 숙박 및 외식 서비스를 제공하는 기업. ('카지노와 게임'으로 분류된 카지노 호텔은 제외)"
자유소비재,Consumer Discretionary,여행 및 여가,Travel & Leisure,카지노 및 도박,Casinos & Gambling,CD64,"카지노, 복권, 스포츠 베팅 등 도박 및 관련 서비스를 제공하는 기업."
자유소비재,Consumer Discretionary,여행 및 여가,Travel & Leisure,레저시설,Leisure Facilities,CD65,"놀이공원, 워터파크, 스포츠 경기장, 골프장 등 여가 활동을 위한 시설을 운영하는 기업. ('엔터테인먼트'로 분류된 기업은 제외)"
자유소비재,Consumer Discretionary,소비자 서비스,Consumer Services,교육 서비스,Education Services,CD71,"사립 대학, 통신 교육, 교육 세미나/교재/기술 교육 제공업체 등 직업 교육 및 온라인 학습 서비스를 제공하는 기업. ('직업 훈련 및 고용 서비스'으로 분류된 직업 및 직원 교육 기관은 제외)"
자유소비재,Consumer Discretionary,소비자 서비스,Consumer Services,소비재 임대서비스,Consumer Goods Rental Services,CD72,소비자 대상의 상품 및 장비를 임대하는 기업. ('부동산'으로 분류된 부동산 임대 기업은 제외)
자유소비재,Consumer Discretionary,소비자 서비스,Consumer Services,기타 소비자 서비스,Other Consumer Services,CD73,다른 부문으로 분류되지 않은 소비자 대상 서비스 제공 기업.
자유소비재,Consumer Discretionary,자유소비재 유통,Discretionary Retail & Distribution,오프라인 종합 소매,Multiline Retail,CD81,"백화점, 창고형 매장 등 다양한 자유소비재를 유통하는 기업."
자유소비재,Consumer Discretionary,자유소비재 유통,Discretionary Retail & Distribution,통신판매 종합 소매,E-commerce,CD82,"인터넷, 우편 주문, TV 홈쇼핑 등 비대면 판매 서비스를 제공하는 기업."
자유소비재,Consumer Discretionary,자유소비재 유통,Discretionary Retail & Distribution,전문 소비재 유통,Specialty Retail,CD83,"특정 카테고리의 상품을 전문적으로 판매 또는 브랜드 직영 온라인 및 오프라인 유통업체. (자동차, 컴퓨터 및 전자제품, 가구, 도서 및 엔터테인먼트 상점 포함) "
자유소비재,Consumer Discretionary,자유소비재 유통,Discretionary Retail & Distribution,기타 소비재 유통,Other Distribution,CD84,다른 부문으로 분류되지 않은 소비재 판매업체 및 도매업체. 
정보통신기술,Information and Communication Technology,반도체,Semiconductors,반도체 제조,Semiconductor Manufacturing,IT11,"집적회로(IC), 메모리 칩, 프로세서 칩 등 반도체를 설계하고 제조하는 기업. IDM, 팹리스, 파운드리 포함."
정보통신기술,Information and Communication Technology,반도체,Semiconductors,반도체 소재 및 장비,Semiconductor Materials & Equipment,IT12,반도체 제조 공정에 필요한 소재 및 장비를 생산하는 기업.
정보통신기술,Information and Communication Technology,디스플레이,Displays,디스플레이 패널 제조,Display Panel Manufacturing,IT21,"LCD, OLED, 마이크로 LED 등 디스플레이 패널을 설계하고 제조하는 기업."
정보통신기술,Information and Communication Technology,디스플레이,Displays,디스플레이 소재 및 장비,Display Materials & Equipment,IT22,디스플레이 제조 공정에 필요한 소재와 장비를 생산하는 기업.
정보통신기술,Information and Communication Technology,소프트웨어,Software,IT 서비스,IT Services,IT31,"시스템 통합(SI), 네트워크 관리, 보안 서비스 등 기업 및 공공기관을 위한 IT 인프라 관리, 클라우드 서비스, 데이터 센터 운영 등을 제공하는 기업. ('인터넷 서비스' 또는 '통신 서비스'에 포함되는 기업 제외)"
정보통신기술,Information and Communication Technology,소프트웨어,Software,인터넷 서비스,Internet Services,IT32,"검색엔진, 소셜미디어, 전자상거래 플랫폼 등을 운영하는 기업."
정보통신기술,Information and Communication Technology,소프트웨어,Software,일반 소프트웨어,General Software,IT33,"생산성 소프트웨어, 데이터베이스, 운영체제 등 다양한 소프트웨어를 개발하는 기업."
정보통신기술,Information and Communication Technology,소프트웨어,Software,게임 소프트웨어,Game Software,IT34,"PC, 콘솔, 모바일 플랫폼을 위한 게임 소프트웨어를 개발 및 배포하는 기업."
정보통신기술,Information and Communication Technology,하드웨어,Hardware,컴퓨터 및 주변기기,Computers & Peripherals,IT41,"데스크톱, 노트북, 서버 등 컴퓨터와 관련된 하드웨어를 제조하는 기업."
정보통신기술,Information and Communication Technology,하드웨어,Hardware,핸드셋,Handsets,IT42,"스마트폰, 태블릿 등 휴대용 전자기기를 설계 및 제조하는 기업."
정보통신기술,Information and Communication Technology,하드웨어,Hardware,로봇 및 부품,Robotics & Components,IT43,산업용 및 소비자용 로봇과 관련 부품을 설계 및 제조하는 기업.
정보통신기술,Information and Communication Technology,하드웨어,Hardware,전자장비 및 기기,Electronic Equipment & Devices,IT44,"정밀한 분석 장비, 시험 및 측정 기기, 바코드 스캐너, 레이저 장치, 디스플레이 화면, POS 단말기 등 다양한 전자 기기와 상업용 장치를 설계 및 제조하는 기업"
정보통신기술,Information and Communication Technology,하드웨어,Hardware,전기전자부품,Electronic Components,IT45,"전자제품에서 사용되는 핵심 부품을 제조하는 기업들로, 회로 기판(PCB), 전자관, 커패시터, 변압기, 신호 처리 장치 등 다양한 구성 요소를 생산하는 기업."
정보통신기술,Information and Communication Technology,하드웨어,Hardware,2차 전지,Secondary Batteries,IT46,리튬이온 배터리 등 에너지 저장장치를 설계 및 제조하는 기업.
정보통신기술,Information and Communication Technology,통신,Telecommunication,통신 장비,Telecom Equipment,IT51,"LAN, WAN, 라우터, 전화기, 스위치보드, 교환기 등 유선 및 무선 통신 네트워크 구축에 필요한 장비를 제조하는 기업. ('핸드셋'으로 분류된 휴대폰 제조업체는 제외)"
정보통신기술,Information and Communication Technology,통신,Telecommunication,통신 서비스,Telecom Services,IT52,"유무선 통신망을 통해 음성, 데이터, 인터넷 서비스를 제공하는 기업. 대형 이동통신사 및 가상 통신 사업자(MVNO) 포함"
정보통신기술,Information and Communication Technology,통신,Telecommunication,통신 솔루션,Telecom Solutions,IT53,"화상회의 시스템, IoT(사물인터넷) 솔루션 등 기업 및 소비자를 위한 통신 기반 솔루션을 설계 및 제공하는 기업."
